# event_id  Enu_MeV  Te+_MeV
566 3.4666 1.6603
567 4.28568 2.47164
568 4.94377 3.10328
569 3.62658 1.81998
570 4.99865 3.17087
571 6.67095 4.7927
572 4.86063 3.03124
573 4.92765 3.11255
574 2.25623 0.448675
575 3.83323 2.02401
576 3.99048 2.17763
577 3.77973 1.96266
578 4.51426 2.70612
579 6.50193 4.6288
580 5.33924 3.50475
581 3.17879 1.36559
582 3.96679 2.14568
583 2.85864 1.04887
584 4.61999 2.79365
585 1.95176 0.145029
586 4.21584 2.39845
587 3.42246 1.60686
588 3.2431 1.43344
589 4.12285 2.31265
590 3.23539 1.42186
591 5.03504 3.21242
592 5.06625 3.22789
593 2.25094 0.443646
594 5.7606 3.93058
595 4.9212 3.10378
596 5.71032 3.89264
597 4.94636 3.13723
598 3.91437 2.10355
599 4.38875 2.56892
600 3.35128 1.5323
601 2.97828 1.16415
602 3.89056 2.0779
603 3.07342 1.26597
604 3.65622 1.83574
605 6.14832 4.32785
606 3.45024 1.63501
607 7.42866 5.56083
608 2.97016 1.1614
609 3.08452 1.2729
610 2.83611 1.02966
611 5.11685 3.30587
612 4.38184 2.55482
613 3.48747 1.67139
614 7.7365 5.85854
615 5.62748 3.80066
616 7.01564 5.19794
617 6.09457 4.27309
618 7.2002 5.38158
619 5.09733 3.26852
620 5.93529 4.11708
621 3.72793 1.92175
622 4.544 2.729
623 5.01716 3.19248
624 7.19389 5.38539
625 2.61234 0.804962
626 3.66934 1.8584
627 4.53299 2.70981
628 3.06176 1.25172
629 3.53995 1.72343
630 6.61008 4.73563
631 3.90159 2.09628
632 3.87377 2.05538
633 3.31147 1.50521
634 2.99147 1.18401
635 3.27935 1.46244
636 4.5913 2.76362
637 3.95629 2.12951
638 5.07675 3.25661
639 4.314 2.5038
640 5.75761 3.94295
641 4.46119 2.6522
642 6.18608 4.33085
643 4.23092 2.41955
644 5.56586 3.74022
645 5.38352 3.54866
646 3.84346 2.0348
647 2.72401 0.914732
648 4.68175 2.84905
649 3.26157 1.45486
650 2.34802 0.542321
651 4.73814 2.90648
652 4.15134 2.33092
653 1.99921 0.192548
654 3.59958 1.78666
655 3.29963 1.48574
656 6.0339 4.21719
657 2.75355 0.947039
658 7.23479 5.36099
659 3.16183 1.35407
660 7.13653 5.2805
661 2.33652 0.527818
662 5.67095 3.82623
663 4.24979 2.42894
664 3.82192 2.0144
665 6.24378 4.41656
666 2.67874 0.871038
667 5.0768 3.23704
668 2.90344 1.09335
669 2.41551 0.608315
670 6.06021 4.22059
671 3.76514 1.945
672 4.37868 2.56464
673 2.95851 1.1444
674 7.6252 5.79335
675 4.9041 3.06467
676 2.34305 0.534646
677 2.62915 0.819035
678 5.56512 3.73457
679 4.79048 2.9846
680 5.64257 3.79948
681 5.15876 3.33951
682 4.79235 2.98605
683 5.03644 3.21066
684 5.71836 3.89762
685 2.72889 0.919905
686 5.68768 3.86278
687 6.37452 4.56432
688 3.29832 1.48179
689 3.12076 1.30446
690 2.52117 0.711349
691 7.43395 5.56751
692 3.69177 1.88432
693 3.16251 1.35313
694 3.32844 1.51982
695 3.06258 1.25647
696 4.42054 2.60007
697 4.57715 2.76903
698 6.2609 4.39825
699 3.01804 1.20638
700 2.12821 0.320762
701 7.87351 6.06358
702 3.73062 1.91216
703 3.52395 1.70536
704 3.91466 2.09572
705 3.26253 1.44442
706 4.11843 2.30139
707 5.05071 3.21989
708 5.1565 3.30952
709 5.16354 3.3527
710 5.93569 4.07243
711 4.76834 2.96087
712 3.74553 1.92541
713 3.65837 1.8398
714 3.53922 1.73178
715 6.06732 4.21555
716 4.67342 2.85833
717 3.42271 1.60464
718 3.82541 2.01412
719 4.98349 3.14348
720 2.58739 0.780699
721 6.81602 4.97066
722 6.43357 4.5849
723 3.30808 1.49965
724 4.66496 2.84252
725 3.54625 1.73016
726 4.46568 2.64125
727 7.00885 5.14564
728 4.77778 2.95181
729 2.56278 0.757052
730 4.05909 2.23267
731 3.81672 1.99319
732 5.05512 3.23022
733 3.03593 1.2304
734 2.61165 0.800759
735 5.80085 3.96229
736 3.30078 1.49102
737 3.1709 1.36516
738 3.69623 1.87807
739 3.51959 1.70011
740 4.34782 2.51721
741 4.91596 3.09036
742 2.44852 0.642458
743 2.95152 1.1403
744 6.0565 4.19446
745 3.34866 1.54091
746 5.11159 3.2738
747 3.71719 1.89675
748 2.92144 1.11596
749 3.3891 1.56961
750 3.99288 2.18705
751 5.31073 3.49577
752 3.48907 1.6814
753 3.41357 1.59678
754 2.90405 1.09236
755 4.39712 2.5657
756 3.43967 1.61917
757 3.00026 1.19085
758 2.7234 0.910966
759 2.47207 0.665962
760 7.34984 5.45203
761 6.02397 4.16768
762 7.33515 5.49125
763 6.81515 4.96767
764 4.48236 2.66245
765 3.32501 1.50846
766 3.2567 1.4391
767 3.1457 1.33009
768 3.61034 1.80262
769 3.97516 2.16343
770 2.81736 1.00636
771 6.62472 4.81649
772 5.19201 3.34664
773 4.59945 2.76632
774 7.12592 5.2554
775 2.84419 1.03639
776 3.40195 1.59507
777 4.54756 2.71968
778 5.00716 3.20121
779 3.74495 1.92554
780 2.7531 0.94703
781 4.55649 2.74578
782 3.20169 1.3934
783 5.84438 4.03861
784 3.19783 1.38057
785 3.51425 1.70406
786 2.62883 0.820951
787 4.69557 2.87021
