# event_id  Enu_MeV  Te+_MeV
598 2.10909 0.30275
599 2.66149 0.852591
600 5.19485 3.38166
601 3.53571 1.71921
602 4.76173 2.93443
603 5.19348 3.35495
604 2.82117 1.00875
605 3.41209 1.59208
606 4.82666 3.0094
607 3.25186 1.4447
608 5.49852 3.66281
609 2.28739 0.478704
610 2.09974 0.293994
611 2.1064 0.29848
612 3.11066 1.29838
613 3.40223 1.58515
614 3.63839 1.82068
615 3.45945 1.64192
616 5.34467 3.52678
617 2.67387 0.864936
618 4.28464 2.47612
619 3.93842 2.12894
620 3.69733 1.88773
621 2.43512 0.62843
622 5.4385 3.6038
623 6.19245 4.34133
624 5.1436 3.31589
625 5.13501 3.31396
626 5.16873 3.33399
627 5.42618 3.61306
628 5.62167 3.8145
629 6.88692 5.07183
630 5.34857 3.54096
631 3.47985 1.65997
632 3.26891 1.45097
633 2.02427 0.217899
634 4.48995 2.65812
635 6.07553 4.21219
636 3.72278 1.90643
637 6.94088 5.05412
638 2.57393 0.762526
639 5.81674 3.97145
640 3.02505 1.21498
641 5.37485 3.55474
642 3.56555 1.75248
643 6.56358 4.75128
644 3.11872 1.30782
645 2.77425 0.966967
646 5.98524 4.13401
647 3.18504 1.37692
648 4.29242 2.46525
649 2.38774 0.58218
650 3.48475 1.67495
651 3.74644 1.92731
652 5.90735 4.08036
653 3.83734 2.024
654 3.68463 1.87455
655 2.99467 1.17996
656 3.76572 1.95119
657 3.39254 1.57943
658 2.45987 0.651781
659 3.42019 1.61243
660 2.46016 0.650179
661 2.65384 0.84393
662 2.82207 1.00877
663 3.61585 1.7969
664 6.73969 4.92387
665 2.87002 1.0569
666 2.90185 1.0936
667 1.99277 0.186868
668 4.07365 2.2615
669 2.35577 0.549592
670 2.26073 0.451965
671 6.93451 5.09335
672 6.01836 4.21307
673 3.77277 1.95181
674 2.81611 1.00311
675 6.24566 4.39166
676 4.68931 2.86766
677 2.42605 0.616068
678 2.68271 0.875284
679 6.47825 4.62997
680 5.32883 3.49696
681 3.27418 1.4688
682 4.06871 2.25112
683 3.84486 2.02927
684 2.42147 0.61199
685 1.97979 0.172562
686 2.70669 0.894407
687 4.25238 2.43508
688 3.36542 1.55144
689 2.81998 1.01375
690 2.31071 0.503258
691 2.52115 0.715668
692 2.74697 0.94064
693 3.71194 1.89544
694 5.25313 3.41887
695 4.45277 2.62979
696 4.17669 2.35765
697 3.9675 2.15107
698 2.45048 0.640207
699 3.18658 1.3791
700 2.02361 0.216538
701 4.77404 2.94862
702 3.1138 1.30699
703 4.74187 2.90785
704 3.40732 1.59116
705 5.80691 3.98376
706 5.99643 4.17684
707 4.22856 2.41674
708 2.39333 0.583827
709 3.56 1.74376
710 3.78923 1.96768
711 3.25921 1.4424
712 4.49967 2.67996
713 3.55163 1.74503
714 4.6676 2.83399
715 4.16684 2.34088
716 5.40001 3.58332
717 6.55725 4.74774
718 4.32885 2.49924
719 3.19378 1.38723
720 2.12489 0.31876
721 3.52045 1.71512
722 6.2626 4.45362
723 3.42036 1.61215
724 7.63906 5.79511
725 2.99321 1.18439
726 5.56054 3.71213
727 2.88968 1.08337
728 4.16393 2.33484
729 6.83912 4.9841
730 6.38988 4.54053
731 4.10692 2.28327
732 4.16023 2.34342
733 4.46287 2.63927
734 5.28494 3.45573
735 3.69991 1.8761
736 2.41462 0.605727
737 5.46188 3.65134
738 2.59142 0.783566
739 3.68058 1.87194
740 4.12405 2.31228
741 5.67168 3.85483
742 4.70421 2.87801
743 3.96911 2.16125
744 2.79502 0.987058
745 4.26592 2.45767
746 2.59156 0.781886
747 3.47929 1.66447
748 4.7849 2.96494
749 4.91926 3.09642
750 2.87221 1.063
751 5.20678 3.37246
752 6.28604 4.4492
753 2.41672 0.609833
754 5.78716 3.96656
755 2.78345 0.973753
756 3.82851 2.0177
757 3.71589 1.90038
758 5.27548 3.45014
759 3.54045 1.73191
760 5.79156 3.98044
761 3.88177 2.06626
762 5.99662 4.15733
763 3.71101 1.9025
764 2.16128 0.355407
765 2.5259 0.719479
766 3.29876 1.48571
767 4.25374 2.44497
768 4.11817 2.30155
769 2.95855 1.14484
770 3.51981 1.70838
771 3.96547 2.14193
772 5.16909 3.33304
773 6.8727 5.03004
774 2.97403 1.16539
775 3.53018 1.70852
776 5.13351 3.31454
777 2.43436 0.62838
778 3.27525 1.46136
779 5.15316 3.34305
780 4.09781 2.27466
781 4.84287 3.03308
782 3.29114 1.477
783 4.85154 3.01475
784 4.39093 2.57938
785 2.81075 1.00267
786 2.85892 1.04722
787 2.76579 0.954947
788 5.50258 3.68432
789 2.31393 0.507531
790 6.1798 4.3602
791 2.96599 1.15329
792 4.55532 2.72282
793 5.10076 3.29182
794 2.68831 0.877558
795 3.67045 1.84733
796 2.99723 1.18682
797 3.31969 1.50081
798 7.54228 5.70889
799 4.07511 2.26028
800 5.25711 3.44361
801 3.39212 1.57331
802 2.49372 0.683409
803 2.49327 0.686417
804 3.0717 1.26132
805 5.19733 3.35302
806 4.99082 3.16665
807 3.51392 1.69952
808 3.62193 1.8154
809 4.77502 2.94889
810 4.93584 3.12281
811 2.91125 1.09849
812 6.87132 5.06053
813 3.87676 2.06158
814 4.60616 2.781
815 1.94345 0.136797
816 7.14361 5.29552
817 2.28578 0.479115
818 5.90629 4.06906
819 5.22066 3.39026
820 3.97321 2.15753
821 4.68068 2.86131
822 5.39479 3.58219
823 2.70768 0.897157
824 5.59662 3.78611
825 2.90921 1.10357
826 3.90551 2.07993
827 3.02869 1.21701
828 3.31471 1.4986
829 4.69092 2.86129
830 4.04879 2.22298
831 2.25218 0.444805
832 2.66395 0.855936
833 3.59547 1.78719
834 3.9982 2.18587
835 3.19522 1.38736
836 6.45038 4.59093
837 3.73252 1.91749
838 5.00284 3.18585
839 3.42333 1.61229
840 4.40963 2.5901
841 4.69593 2.86612
842 2.18606 0.378994
843 2.93966 1.12992
844 6.21933 4.37296
845 2.55181 0.745085
846 4.43123 2.59823
847 2.77532 0.965475
848 3.38425 1.56677
849 3.42959 1.61837
850 5.14719 3.31599
851 4.27036 2.46124
852 4.83236 3.00444
853 2.54853 0.738295
854 4.0948 2.26558
855 5.77706 3.97006
856 2.76515 0.954875
857 4.03542 2.22083
858 3.26162 1.44369
859 4.03762 2.22157
860 2.25002 0.444386
861 4.85793 3.02878
862 8.37011 6.50099
863 4.8988 3.06196
864 3.07839 1.2687
865 2.76416 0.9518
866 2.67824 0.867002
867 2.7987 0.987715
868 4.92512 3.10365
869 4.62625 2.79158
870 3.92643 2.10655
871 4.85635 3.03858
872 3.52565 1.71485
873 3.30892 1.49391
874 2.61067 0.801475
875 6.51276 4.64045
876 4.27865 2.4497
877 3.84637 2.03851
878 5.08161 3.26003
879 4.26717 2.43547
880 2.08093 0.273127
881 2.79844 0.988726
882 3.56774 1.75804
883 2.68435 0.87501
884 3.52122 1.6999
885 2.739 0.928349
886 2.95655 1.15001
887 6.09693 4.24092
888 4.07733 2.25449
889 3.59884 1.78166
890 7.95218 6.12698
891 3.94441 2.12169
892 3.54414 1.72238
893 5.91931 4.07131
894 3.35089 1.54048
895 4.31112 2.48203
896 3.27697 1.46327
897 2.81514 1.00388
898 3.58694 1.7682
899 3.28132 1.46962
900 3.64083 1.82972
901 6.14962 4.32066
902 3.42013 1.60953
903 4.4132 2.60366
904 4.75236 2.93205
905 5.27098 3.463
906 4.81807 2.9796
907 3.57138 1.76392
908 4.37547 2.5509
909 4.5778 2.76178
910 3.86987 2.04969
911 3.17123 1.35507
912 4.49115 2.67329
913 6.56787 4.75452
914 5.07736 3.26676
915 3.35493 1.5354
916 4.47919 2.64635
917 4.20655 2.38106
918 5.54136 3.72322
919 3.4224 1.6144
920 6.21701 4.37186
921 2.19635 0.390044
922 6.05478 4.24234
923 3.26358 1.45652
924 4.94844 3.11498
925 2.25793 0.450751
926 4.56763 2.75652
927 2.83717 1.02437
928 6.14691 4.30519
929 2.69445 0.887188
930 5.38328 3.53818
931 7.75599 5.86728
932 3.08049 1.27221
933 2.74615 0.938111
934 3.38159 1.56222
935 2.7805 0.967587
936 2.62601 0.815329
937 3.50776 1.69241
938 2.60882 0.803291
939 3.00724 1.20089
940 7.58898 5.69203
941 2.42083 0.611888
942 5.42875 3.6131
943 3.57752 1.76835
944 3.63709 1.81463
945 2.73774 0.929581
946 5.78735 3.9316
947 4.21938 2.41331
948 5.68179 3.8386
949 4.20887 2.39273
950 3.9158 2.09785
951 5.2917 3.46367
952 4.12932 2.31556
953 3.81839 2.00362
954 4.06544 2.25664
955 2.95428 1.14688
956 2.99583 1.18842
957 2.27007 0.461549
958 3.57233 1.7536
959 3.93198 2.11307
960 5.15688 3.32203
961 5.40242 3.56304
962 6.42945 4.57478
963 3.5253 1.71615
964 3.71398 1.89825
965 3.26741 1.45679
966 5.65996 3.81947
967 5.33574 3.51896
968 3.14007 1.32484
969 5.80646 3.96627
970 5.28828 3.44259
971 3.33717 1.52465
972 2.00536 0.198652
973 3.53452 1.7262
974 4.40826 2.58187
975 2.28031 0.470986
976 5.94627 4.08272
977 3.56926 1.75453
978 3.40683 1.58764
979 2.65358 0.841513
980 4.16918 2.34093
981 5.90047 4.07861
982 3.2258 1.41368
983 3.61598 1.80449
984 3.36208 1.55049
985 6.0166 4.17086
986 2.27912 0.472427
987 4.5624 2.74172
988 4.55259 2.74128
989 3.58974 1.77818
990 3.09405 1.27836
991 3.47645 1.66906
992 3.50958 1.6991
993 2.14682 0.339673
994 6.48848 4.68265
995 5.31176 3.504
996 6.74722 4.87563
997 6.23574 4.41918
998 5.49603 3.64496
999 2.70018 0.894119
1000 2.47686 0.669865
1001 4.47158 2.6408
1002 4.67344 2.84615
1003 2.51959 0.710639
1004 3.33227 1.5173
1005 5.86271 4.00751
1006 3.53328 1.72113
1007 4.07856 2.24999
1008 3.37311 1.56041
1009 3.30599 1.49531
1010 2.94084 1.12655
1011 2.53947 0.732816
1012 4.82446 2.98773
1013 7.57192 5.70525
1014 4.42868 2.59829
1015 4.11708 2.30958
1016 4.08997 2.27841
1017 4.68692 2.85967
1018 6.87362 5.0359
1019 2.6536 0.844638
1020 5.57345 3.76197
1021 4.68122 2.84552
1022 4.99252 3.18508
1023 3.52393 1.70576
1024 4.30472 2.47832
1025 3.66538 1.8447
1026 6.1306 4.26338
1027 3.5275 1.71848
1028 4.15917 2.33185
1029 4.26096 2.44373
1030 3.0168 1.20472
1031 4.17046 2.34981
1032 4.08949 2.26846
1033 3.25294 1.44127
1034 3.58493 1.76661
1035 3.92817 2.12087
1036 2.50802 0.699968
1037 3.3067 1.48813
1038 2.73385 0.923483
1039 3.50002 1.69135
1040 5.91778 4.07008
1041 3.14555 1.33808
1042 3.1838 1.3723
1043 2.63794 0.826689
1044 2.91995 1.10989
1045 5.16815 3.35637
1046 3.36013 1.54122
1047 2.96394 1.15557
1048 5.4934 3.64132
