# event_id Enu_MeV Ee_MeV Te_MeV cosThetaE thetaE_deg eDirX eDirY eDirZ Tn_keV cosThetaN thetaN_deg nDirX nDirY nDirZ
63 4.0412697 2.745695 2.2346961 0.89074703 27.032731 0.40001594 0.21577066 -0.89074703 2.2276848 0.80060823 36.811777 -0.52736 -0.2844607 -0.80060823
64 4.7595576 3.4623205 2.9513216 0.8304616 33.853815 0.32420709 0.45301577 -0.8304616 3.8901073 0.70859743 44.879087 -0.41065274 -0.57380659 -0.70859743
65 3.4056454 2.1063769 1.595378 0.33521254 70.414537 -0.30933137 -0.88991385 -0.33521254 5.9214363 0.816294 35.284489 0.18965404 0.54561475 -0.816294
66 2.6379089 1.336978 0.82597908 -0.87420626 150.95118 0.18882278 -0.44733586 0.87420626 7.5838878 0.98723205 9.1656095 -0.061944253 0.14675076 -0.98723205
67 5.8710992 4.5244686 4.0134697 -0.84043192 147.18576 0.42656616 -0.33423869 0.84043192 53.283524 0.96957529 14.169619 -0.19268728 0.15098137 -0.96957529
68 4.4556472 3.1526241 2.6416252 0.41070892 65.750624 0.86605037 -0.28508762 -0.41070892 9.6760592 0.74605615 41.750106 -0.63249553 0.20820572 -0.74605615
69 3.7209935 2.4155193 1.9045204 -0.18654818 100.75141 -0.68475333 0.70449461 0.18654818 12.127199 0.87348676 29.133612 0.33932733 -0.34911006 -0.87348676
70 5.2734146 3.9575552 3.4465563 0.026760622 88.466546 -0.79444297 0.6067489 -0.026760622 22.512431 0.79653021 37.199972 0.48049129 -0.36697104 -0.79653021
71 4.1636783 2.859423 2.3484241 0.20534924 78.150056 0.78840427 0.57987101 -0.20534924 10.908289 0.79315677 37.518497 -0.49060747 -0.36084159 -0.79315677
72 3.3428987 2.0351204 1.5241215 -0.90316412 154.57714 -0.4181311 -0.097267471 0.90316412 14.431305 0.98664262 9.3752496 0.15866337 0.036908961 -0.98664262
73 4.5870149 3.2835112 2.7725123 0.42060918 65.126946 -0.80503778 -0.41833251 -0.42060918 10.156635 0.73847206 42.398579 0.59832349 0.31091481 -0.73847206
74 7.7714354 6.421071 5.9100721 -0.049510854 92.837923 0.59899651 0.79921953 0.049510854 57.017364 0.78453713 38.322112 -0.37188295 -0.49619006 -0.78453713
75 2.6179947 1.3190493 0.80805039 -0.33839623 109.77919 -0.097283428 -0.9359615 0.33839623 5.5983888 0.93548974 20.692589 0.036530646 0.35146046 -0.93548974
76 5.4529909 4.124568 3.613569 -0.424027 115.08909 -0.80026065 0.42400943 0.424027 35.075941 0.8887985 27.277347 0.40496681 -0.21456727 -0.8887985
77 5.0457589 3.7382015 3.2272026 0.33571756 70.383822 0.93242004 0.13374072 -0.33571756 14.210385 0.73691153 42.531014 -0.66914102 -0.095977563 -0.73691153
78 3.6427191 2.3431821 1.8321832 0.41326289 65.59003 0.82852258 0.37784139 -0.41326289 6.1899307 0.79159654 37.665038 -0.55596015 -0.25354138 -0.79159654
79 3.6929857 2.3951607 1.8841618 0.61940796 51.727087 -0.45999213 -0.6361926 -0.61940796 4.4779771 0.77371492 39.311333 0.3712037 0.51339366 -0.77371492
80 5.3159204 3.9873902 3.4763913 -0.51600244 121.06448 -0.016671662 -0.85642486 0.51600244 35.183166 0.90833039 24.724365 0.0081404202 0.41817416 -0.90833039
81 5.2256562 3.9012819 3.390283 -0.38662642 112.74475 0.20053345 -0.90017018 0.38662642 31.027276 0.88331298 27.955375 -0.10193354 0.4575672 -0.88331298
82 4.5270663 3.2283267 2.7173278 0.71128764 44.660222 0.19992603 -0.67386903 -0.71128764 5.3925636 0.7101106 44.756085 -0.20026425 0.67500902 -0.7101106
83 4.7332957 3.4180644 2.9070655 -0.22106389 102.77153 -0.86504076 -0.45037233 0.22106389 21.884323 0.85695521 31.023586 0.45714418 0.23800623 -0.85695521
84 3.6721855 2.3708973 1.8598984 0.23269567 76.544171 0.16731037 -0.95805008 -0.23269567 7.9411351 0.81208267 35.700084 -0.1003884 0.5748425 -0.81208267
85 2.3251047 1.0296023 0.51860343 0.51872623 58.753151 0.85494001 0.00081573937 -0.51872623 2.155355 0.9250785 22.319805 -0.37977578 -0.00036236232 -0.9250785
86 4.5889764 3.2922839 2.7812849 0.84923973 31.870925 0.35773049 -0.3883565 -0.84923973 3.3455238 0.72863204 43.228165 -0.46403044 0.50375699 -0.72863204
87 7.1767165 5.8057685 5.2947696 -0.7115857 135.36408 0.54307094 -0.44577993 0.7115857 77.600994 0.94093564 19.790717 -0.2617081 0.21482316 -0.94093564
88 2.9900203 1.6908948 1.1798958 0.073037055 85.811556 -0.14237731 0.98711412 -0.073037055 5.7785425 0.87263009 29.234274 0.069720686 -0.48337952 -0.87263009
89 6.9613826 5.6368918 5.1258929 0.2779297 73.863319 0.11834501 -0.95328356 -0.2779297 31.143764 0.70767403 44.954018 -0.087044818 0.70115666 -0.70767403
90 6.5492713 5.2120647 4.7010658 -0.17666086 100.17532 -0.80406611 -0.56768709 0.17666086 43.859583 0.82544488 34.366379 0.46113426 0.3255702 -0.82544488
91 3.8750641 2.5657021 2.0547032 -0.44121449 116.1814 -0.81227407 -0.38149785 0.44121449 16.015079 0.91100594 24.355262 0.37327356 0.17531405 -0.91100594
92 5.3978017 4.1003892 3.5893903 0.86630196 29.968294 0.36952966 -0.33610823 -0.86630196 4.0655524 0.67776897 47.330453 -0.54393323 0.49473819 -0.67776897
93 3.5852765 2.2871386 1.7761396 0.55237638 56.469805 -0.74550955 0.37295556 -0.55237638 4.7909147 0.7848748 38.2909 0.55417601 -0.27723726 -0.7848748
94 2.7372412 1.4352807 0.92428182 -0.92771238 158.08098 0.35379197 -0.11908393 0.92771238 8.6135165 0.99218599 7.1673372 -0.11824883 0.039801736 -0.99218599
95 5.2967571 3.9880961 3.4770972 0.35814083 69.013938 0.065574806 -0.93136195 -0.35814083 15.314014 0.7243797 43.58273 -0.048419108 0.6876988 -0.7243797
96 3.4010426 2.1035093 1.5925104 0.56705739 55.454718 -0.00054740407 -0.8236781 -0.56705739 4.1862806 0.80038653 36.832971 0.00039840814 0.59948415 -0.80038653
97 4.562429 3.2632004 2.7522015 0.68549276 46.725628 0.7062624 0.17689854 -0.68549276 5.8816094 0.70809421 44.919935 -0.68495902 -0.17156265 -0.70809421
98 3.4257346 2.1171161 1.6061172 -0.89223788 153.15582 0.4454036 -0.074345089 0.89223788 15.271491 0.98479259 10.005001 -0.17136335 0.028603324 -0.98479259
99 2.5853925 1.2858928 0.77489388 -0.56407427 124.33803 -0.64758541 -0.51230201 0.56407427 6.1527041 0.95790293 16.683955 0.22515605 0.17811998 -0.95790293
100 6.7423519 5.4442172 4.9332183 0.90082604 25.73314 0.16702311 0.40076892 -0.90082604 4.7876617 0.62001663 51.682651 -0.30182039 -0.72421256 -0.62001663
101 3.9953441 2.6980766 2.1870776 0.73770687 42.463559 -0.47752103 -0.47724442 -0.73770687 3.9205619 0.75208247 41.228909 0.46616716 0.46589714 -0.75208247
102 4.3823783 3.074436 2.5634371 0.040400655 87.684583 0.70768542 0.70537163 -0.040400655 14.595232 0.81496099 35.416495 -0.41045 -0.40910803 -0.81496099
103 5.3200023 4.0000882 3.4890893 -0.13255907 97.617496 0.86980125 -0.47526191 0.13255907 26.567078 0.82974819 33.927121 -0.48979142 0.26762345 -0.82974819
104 3.138755 1.8356472 1.3246483 -0.47907567 118.62505 0.81173377 -0.33402812 0.47907567 9.760731 0.93212402 21.231631 -0.33489345 0.13780852 -0.93212402
105 5.9073506 4.55776 4.0467611 -0.91719829 156.51987 -0.33278206 0.21909679 0.91719829 56.243646 0.98429471 10.167886 0.14744594 -0.09707534 -0.98429471
106 4.0157087 2.7057265 2.1947276 -0.37074675 111.76168 0.79141227 -0.48601796 0.37074675 16.635163 0.89676179 26.264369 -0.37708396 0.23157283 -0.89676179
107 6.1320223 4.7766354 4.2656365 -0.94471297 160.85873 -0.31069083 0.10482655 0.94471297 62.039856 0.98941682 8.3431382 0.13748648 -0.046387703 -0.98941682
108 4.9735492 3.6472887 3.1362897 -0.65615025 131.00693 0.72676785 -0.20316334 0.65615025 32.913498 0.93751837 20.361109 -0.3350893 0.093672086 -0.93751837
109 2.4705179 1.1754422 0.66444331 0.75990779 40.543931 0.061367678 -0.64712763 -0.75990779 1.7287247 0.92427734 22.440365 -0.036037317 0.38001672 -0.92427734
